data:text/csv;charset=utf-8,﻿Chat ID,Customer Name,Status,Priority,Category,AI Summary,Created At
"chat-998","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาว่าเข้าเว็บแล้วหน้าเว็บค้าง","14/7/2569 16:39:02"
"chat-089","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งว่าหน้าเว็บมีปัญหาโหลดไม่เสร็จและแสดงผลเป็นจอดำ","14/7/2569 10:39:14"
"chat-096","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าแจ้งว่าโอนเงินแล้วยอดไม่ปรับอัตโนมัติ","14/7/2569 17:55:07"
"chat-001","ลูกค้า #cust-001","completed","low","ฝาก-ถอน","ลูกค้าสอบถามเรื่องการโอนเงินเข้าบัญชีแต่ไม่เห็นยอดเงินเพิ่มในระบบ","9/7/2569 15:16:57"
"chat-090","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามข้อมูลบัญชีและยอดเสีย และแจ้งว่าไม่ได้รับโบนัสตามที่คาดหวัง","14/7/2569 11:54:08"
"chat-097","ลูกค้า #cust-003","completed","medium","โปรโมชั่นและโบนัส","ลูกค้าแจ้งว่าไม่มียอดเข้าหลังจากเล่นได้เสีย","14/7/2569 17:56:45"
"chat-055","ลูกค้า #cust-001","completed","medium","ฝาก-ถอน","ลูกค้าแจ้งว่าโอนเงินแล้วแต่เครดิตไม่ขึ้นบนระบบ","10/7/2569 11:24:44"
"chat-099","ลูกค้า #cust-003","completed","medium","ปัญหาการเล่นเกม","ลูกค้าแจ้งว่าไม่สามารถเข้าเกมได้และสอบถามเกี่ยวกับการแลกของรางวัล","14/7/2569 19:01:27"
"chat-056","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าสอบถามว่าทำไมเวลาเข้าเว็บไซต์ก็จะค้างทุกครั้ง","10/7/2569 11:38:54"
"chat-002","ลูกค้า #cust-002","completed","medium","ปัญหาการเข้าสู่ระบบ","ลูกค้าเข้าสู่ระบบไม่ได้เนื่องจากปัญหาการยืนยันตัวตนด้วยเบอร์โทรศัพท์","9/7/2569 15:16:57"
"chat-0100","ลูกค้า #cust-003","completed","high","เข้าหน้าเว็บไม่ได้/ลิงก์เสีย","ลูกค้าแจ้งว่าโยกเงินแล้วแต่ยอดเงินหายไป เนื่องจากระบบการโอนเงินขัดข้อง","15/7/2569 17:08:32"
"chat-997","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาหน้าเว็บค้างและจอขาวเมื่อเข้าใช้งาน","16/7/2569 10:40:12"
"chat-test-1783743143218","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามโปรโมชั่นสำหรับสมาชิกใหม่","11/7/2569 11:12:23"
"chat-003","ลูกค้า #cust-003","completed","low","โปรโมชั่นและโบนัส","ลูกค้าสอบถามว่าทำอย่างไรเพื่อให้โบนัสจากการสมัครโปรโมชั่นฝากแรกของวันเข้าสู่ระบบ","9/7/2569 15:16:57"
"chat-0101","ลูกค้า #cust-003","completed","medium","ปัญหาการเล่นเกม","ลูกค้าแจ้งว่าไม่สามารถแทงหวยได้","16/7/2569 11:29:28"
"chat-065","ลูกค้า #cust-003","completed","low","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งว่าเว็บไซต์มีปัญหาโหลดหน้าช้า","10/7/2569 18:55:47"
"chat-0102","ลูกค้า #cust-003","completed","medium","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่าไม่สามารถเข้าสู่ระบบได้และลืมรหัสผ่าน","16/7/2569 12:21:22"
"chat-0103","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาเว็บโหลดช้าและค้าง จอขาว และถอนเงินไม่เข้า","16/7/2569 12:55:52"
"chat-004","ลูกค้า #cust-001","completed","high","ฝาก-ถอน","ลูกค้าโอนเงินเข้าระบบแล้วแต่ยอดเครดิตไม่ปรับ อ้างว่าธนาคารมีปัญหาขัดข้องชั่วคราว","9/7/2569 16:44:52"
"chat-063","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามวิธีการทำรายการฝากเงิน","10/7/2569 17:30:02"
"chat-0104","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าแจ้งว่าถอนเงินหลายรอบแล้วไม่ได้รับยอดเงินและสงสัยว่าเมื่อไหร่จะปรับยอด","16/7/2569 16:49:00"
"chat-057","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าแจ้งว่าฝากแล้วยอดไม่ปรับอัตโนมัติ","10/7/2569 15:59:51"
